"date","GDP","GDPC1","USREC","g1","rg1","g4","rg4"
1957-04-01,472.025,2987.699,0,0.00478097147807754,-0.00219085924096762,0.0583282886033945,0.0198087427030931
1957-07-01,479.49,3016.979,0,0.0158148403156608,0.00980018402121474,0.0627206659707309,0.0307290588356677
1957-10-01,474.864,2985.775,1,-0.00964775073515589,-0.010342796552445,0.0312750427287316,0.00355134714905758
1958-01-01,467.54,2908.281,1,-0.0154233633208661,-0.025954400448795,-0.00476607085459324,-0.0287142828993752
1958-04-01,471.978,2927.395,0,0.00949223595842064,0.00657226726028215,-0.0000995709972988479,-0.020184094850251
1958-07-01,485.841,2995.112,0,0.0293721317519031,0.0231321704108942,0.0132453231558531,-0.00724797885566975
1958-10-01,499.555,3065.141,0,0.0282273418669901,0.023381095598429,0.0519959398901582,0.0265813733452789
1959-01-01,510.33,3123.978,0,0.0215691965849605,0.0191955280360661,0.0915215810411942,0.0741664921649594
1959-04-01,522.653,3194.429,0,0.0241471204906629,0.0225516953064333,0.107367292543296,0.0912189847970637
1959-07-01,525.034,3196.683,0,0.00455560381362052,0.000705603411438771,0.0806704250979229,0.0672999874462124
1959-10-01,528.6,3205.79,0,0.00679194109333814,0.00284889055311366,0.0581417461540772,0.0458866329477174
1960-01-01,542.648,3277.847,0,0.0265758607642836,0.022477142919531,0.0633276507357985,0.0492541880896729
1960-04-01,541.08,3260.177,1,-0.0028895342837344,-0.0053907336126422,0.0352566616856691,0.0205820821185883
1960-07-01,545.604,3276.133,1,0.00836105566644463,0.00489421279887581,0.0391784151121644,0.0248538876078734
1960-10-01,540.197,3234.087,1,-0.00991011796101227,-0.0128340332947419,0.0219390843738176,0.00882684143378065
1961-01-01,545.018,3255.914,1,0.00892452197994453,0.00674904540292265,0.0043674720997775,-0.00669128241800176
1961-04-01,555.545,3311.181,0,0.0193149584050429,0.0169743426884124,0.0267335698972424,0.0156445493603568
1961-07-01,567.664,3374.742,0,0.021814614477675,0.0191958699932135,0.0404322548954918,0.0300992053741409
1961-10-01,580.612,3440.924,0,0.0228092674539875,0.0196109806319997,0.0748152988631925,0.0639552986669809
1962-01-01,594.013,3502.298,0,0.0230808181711708,0.0178364881061026,0.0898961135228562,0.0756727603984624
1962-04-01,600.366,3533.947,0,0.0106950521284885,0.00903663823009904,0.0806793329073252,0.0672769021083415
1962-07-01,609.027,3577.362,0,0.0144262000179893,0.0122851304787535,0.0728652865075117,0.0600401452911066
1962-10-01,612.28,3589.128,0,0.0053413067072563,0.00328901576077656,0.0545424483131591,0.0430709890715402
1963-01-01,621.672,3628.306,0,0.0153393872084666,0.0109157433226115,0.0465629540094241,0.035978663152022
1963-04-01,629.752,3669.02,0,0.0129972075306595,0.0112212145282118,0.0489468091131076,0.0382215692538683
1963-07-01,644.444,3749.681,0,0.0233298187222899,0.0219843445933798,0.0581534152016248,0.048169293462613
1963-10-01,653.938,3774.264,0,0.0147320791255716,0.00655602436580582,0.0680374991833801,0.0515824456525373
1964-01-01,669.822,3853.835,0,0.0242897644730848,0.0210825209895225,0.0774524186387677,0.0621582082657857
1964-04-01,678.674,3895.793,0,0.0132154512691434,0.0108873368994786,0.0776845488382729,0.0618075126328013
1964-07-01,692.031,3956.657,0,0.0196810250576855,0.0156230066638539,0.0738419474772052,0.0551982955350068
1964-10-01,697.319,3968.878,0,0.00764127618560484,0.00308871858237891,0.0663380932137296,0.0515634306450212
1965-01-01,717.79,4064.915,0,0.0293567219593898,0.0241975187949859,0.0716130554087504,0.0547714160050963
1965-04-01,730.191,4116.267,0,0.0172766408002347,0.0126329824854885,0.0759083153325455,0.0565928425868623
1965-07-01,749.323,4207.782,0,0.0262013637527712,0.022232522817397,0.0827881987945627,0.0634689840438531
1965-10-01,771.857,4304.731,0,0.030072478757492,0.0230404046597465,0.106892254477506,0.084621648738006
1966-01-01,795.734,4409.518,0,0.0309344865694037,0.0243422875900963,0.108588863037936,0.0847749583939639
1966-04-01,804.981,4424.581,0,0.0116207174759402,0.00341601961937754,0.102425255857714,0.0749013608689622
1966-07-01,819.638,4462.053,0,0.0182078831674286,0.00846905051574365,0.0938380378021229,0.0604287484475192
1966-10-01,833.302,4498.66,0,0.0166707741710361,0.00820407108566412,0.0796067147152906,0.045050201743152
1967-01-01,844.17,4538.498,0,0.0130420903825985,0.00885552586770366,0.0608695870730671,0.0292503625112766
1967-04-01,848.983,4541.28,0,0.00570145823708512,0.000612978126242059,0.0546621597279935,0.0263751528110796
1967-07-01,865.233,4584.246,0,0.0191405481617413,0.0094612091745061,0.055628216358929,0.0273849279692555
1967-10-01,881.439,4618.812,0,0.0187302148669781,0.00754017127353124,0.057766572023108,0.0267083976117333
1968-01-01,909.387,4713.013,0,0.031707242361638,0.0203950712867296,0.077255766018693,0.0384521487064664
